EmpID,Age,AgeGroup,MaritalStatus,Gender,Attrition,EducationField,EnvironmentSatisfaction,JobRole,Department,JobLevel,JobInvolvement,JobSatisfaction,PerformanceRating,MonthlyIncome,SalarySlab,HourlyRate,DailyRate,PercentSalaryHike,BusinessTravel,Distance From Home,OverTime,StandardHours,RelationshipSatisfaction,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
RM001,41,36-45,Single,Female,Yes,Life Sciences,Medium,Sales Executive,Sales,Intermediate,High,Very High,Low,"$5,993.00 ",5k-10k,$94.00 ,"$1,102.00 ",11,Rarely,Near,Yes,80,Weak,8,6,4,0
RM002,49,46-55,Married,Male,No,Life Sciences,High,Research Scientist,Research & Development,Intermediate,Medium,Medium,High,"$5,130.00 ",5k-10k,$61.00 ,$279.00 ,23,Frequently,Near,No,80,Very Strong,10,10,7,1
RM003,37,36-45,Single,Male,Yes,Other,Very High,Laboratory Technician,Research & Development,Entry Level,Medium,High,Low,"$2,090.00 ",Upto 5k,$92.00 ,"$1,373.00 ",15,Rarely,Near,Yes,80,Neutral,7,0,0,0
RM004,33,26-35,Married,Female,No,Life Sciences,Very High,Research Scientist,Research & Development,Entry Level,High,High,Low,"$2,909.00 ",Upto 5k,$56.00 ,"$1,392.00 ",11,Frequently,Near,Yes,80,Strong,8,8,7,3
RM005,27,26-35,Married,Male,No,Medical,Low,Laboratory Technician,Research & Development,Entry Level,High,Medium,Low,"$3,468.00 ",Upto 5k,$40.00 ,$591.00 ,12,Rarely,Near,No,80,Very Strong,6,2,2,2
RM006,32,26-35,Single,Male,No,Life Sciences,Very High,Laboratory Technician,Research & Development,Entry Level,High,Very High,Low,"$3,068.00 ",Upto 5k,$79.00 ,"$1,005.00 ",13,Frequently,Near,No,80,Strong,8,7,7,3
RM007,59,55+,Married,Female,No,Medical,High,Laboratory Technician,Research & Development,Entry Level,Very High,Low,High,"$2,670.00 ",Upto 5k,$81.00 ,"$1,324.00 ",20,Rarely,Near,Yes,80,Weak,12,1,0,0
RM008,30,26-35,Divorced,Male,No,Life Sciences,Very High,Laboratory Technician,Research & Development,Entry Level,High,High,High,"$2,693.00 ",Upto 5k,$67.00 ,"$1,358.00 ",22,Rarely,Far,No,80,Neutral,1,1,0,0
RM009,38,36-45,Single,Male,No,Life Sciences,Very High,Manufacturing Director,Research & Development,Senior,Medium,High,High,"$9,526.00 ",5k-10k,$44.00 ,$216.00 ,21,Frequently,Far,No,80,Neutral,10,9,7,1
RM010,36,36-45,Married,Male,No,Medical,High,Healthcare Representative,Research & Development,Intermediate,High,High,Low,"$5,237.00 ",5k-10k,$94.00 ,"$1,299.00 ",13,Rarely,Far,No,80,Neutral,17,7,7,7
